chr	start	end	log2_TNratio_corrected
1	1000001	1500000	NA
1	1500001	2000000	0.00720634033723327
1	2000001	2500000	NA
1	2500001	3000000	NA
1	3000001	3500000	0.0106119994680532
1	4000001	4500000	-0.0409419917888573
1	4500001	5000000	-0.043023940245653
1	5000001	5500000	0.0846543587545942
1	5500001	6000000	0.00190919609832668
1	6000001	6500000	-0.0346307786525915
1	6500001	7000000	0.00612983352161948
1	7000001	7500000	0.0293517020303718
1	7500001	8000000	0.0175304160832127
1	8000001	8500000	-0.0259278489179803
1	8500001	9000000	0.026920171444658
1	9000001	9500000	0.00919105246140445
1	9500001	10000000	-0.00147916037554382
1	10000001	10500000	-0.0403827345175117
1	10500001	11000000	-0.0107097613262112
1	11000001	11500000	0.00490222915828122
1	11500001	12000000	-0.0542430941121504
1	12000001	12500000	0.00882795782307047
1	12500001	13000000	0.0650243550018283
1	14000001	14500000	-0.0110503575950913
1	14500001	15000000	-0.038442412701657
1	15000001	15500000	0.0109366522056133
1	15500001	16000000	-0.0488591160072524
1	16000001	16500000	0.0390426267124659
1	16500001	17000000	0.542462950754973
1	17000001	17500000	NA
1	17500001	18000000	-0.0480749145562718
1	18000001	18500000	-0.022525568753121
1	18500001	19000000	0.0176803974700042
1	19000001	19500000	0.00215380876189036
1	19500001	20000000	-0.000459305826166689
1	20000001	20500000	-0.01305721162208
1	20500001	21000000	-0.021956256079971
1	21000001	21500000	0.0426260005366533
1	21500001	22000000	0.0126823553722681
1	22000001	22500000	-0.0294183796394445
1	22500001	23000000	-0.0276922897014545
1	23000001	23500000	0.0541388767968754
1	23500001	24000000	-0.0417810835663269
1	24000001	24500000	-0.336968973839327
1	24500001	25000000	-0.0115640859560021
1	25000001	25500000	-0.00698708581440219
1	25500001	26000000	-0.094012736393477
1	26000001	26500000	-0.00128715100737904
1	26500001	27000000	-0.0122215838823655
1	27000001	27500000	-0.00864141462911009
1	27500001	28000000	0.0240528745754366
1	28000001	28500000	0.0172461428716136
1	28500001	29000000	-0.0104073102137029
1	29000001	29500000	-0.0053217228963036
1	30000001	30500000	NA
1	30500001	31000000	-0.000942362622106595
1	31000001	31500000	-0.00137977845397692
1	31500001	32000000	-0.0248061128298143
1	32000001	32500000	0.0190596777059909
1	32500001	33000000	-0.0636391997058772
1	33000001	33500000	0.0118243945819121
1	33500001	34000000	0.0576191269778727
1	34000001	34500000	0.00883463508843011
1	34500001	35000000	0.03550373934936
1	35000001	35500000	-0.0486257558234654
1	35500001	36000000	-0.0142072600650066
1	36000001	36500000	-0.00349509293006689
1	36500001	37000000	-0.0186816556545553
1	37000001	37500000	-0.0204223665806261
1	37500001	38000000	0.0563035064743605
1	38000001	38500000	0.018817239063039
1	38500001	39000000	0.0203080166822118
1	39000001	39500000	0.0932099705589033
1	39500001	40000000	-0.0707524087671932
1	40000001	40500000	-0.0267511078036495
1	40500001	41000000	-0.0169810424964293
1	41000001	41500000	-0.0214933572069027
1	41500001	42000000	0.0717052829190779
1	42000001	42500000	0.0303394628657913
1	42500001	43000000	-0.00420786940137291
1	43000001	43500000	0.00956994056000701
1	43500001	44000000	-0.0672061792807659
1	44000001	44500000	0.057458037527782
1	44500001	45000000	-0.0513301721070005
1	45000001	45500000	-0.0297771211956663
1	45500001	46000000	0.0112087159299104
1	46000001	46500000	-0.0237202422116047
1	46500001	47000000	0.0211684889157545
1	47000001	47500000	0.00882959890091306
1	47500001	48000000	-0.0225296707519683
1	48000001	48500000	0.0459280201058085
1	48500001	49000000	-0.00278999989531259
1	49000001	49500000	0.0256744553383348
1	49500001	50000000	0.0634847518366372
1	50000001	50500000	0.00275900098041449
1	50500001	51000000	-0.0323982100037963
1	51000001	51500000	0.0112849621772461
1	51500001	52000000	-0.0812905391117477
1	52000001	52500000	0.0520209678118546
1	52500001	53000000	0.00305839621044765
1	53000001	53500000	-0.00974837225119325
1	53500001	54000000	0.00592754778092395
1	54000001	54500000	-0.020669218621084
1	54500001	55000000	0.00360510560498339
1	55000001	55500000	0.0191911671582871
1	55500001	56000000	0.0264788911136268
1	56000001	56500000	-0.00335324985467981
1	56500001	57000000	-0.0190369326055489
1	57000001	57500000	0.0173387000567513
1	57500001	58000000	-0.0306561940015298
1	58000001	58500000	-0.023980355429191
1	58500001	59000000	-0.00844461620962417
